SATV,SATM
520,580
520,550
460,440
560,530
430,440
490,530
570,580
530,570
490,540
450,470
510,560
480,510
470,420
500,520
480,470
450,390
500,480
510,500
610,630
450,410
410,380
460,460
500,530
540,500
500,510
530,560
540,550
500,530
490,570
470,520
430,390
530,520
540,540
500,540
520,590
550,550
520,620
480,460
530,560
530,580
420,380
640,640
450,400
470,490
470,410
490,480
490,560
540,600
440,420
470,380
480,500
560,540
520,590
540,520
540,620
520,480
490,440
520,620
530,530
500,510
550,600
520,520
550,500
500,490
450,470
480,370
610,680
480,410
480,440
470,430
570,590
520,530
540,550
530,560
510,530
560,590
520,580
640,660
420,410
520,520
570,550
460,440
540,510
540,480
550,520
540,620
500,490
510,470
500,550
440,470
470,530
540,520
430,340
390,440
460,430
530,530
510,530
450,400
490,400
490,510
540,520
560,600
480,410
500,450
580,560
520,570
440,420
570,590
550,540
550,520
400,270
510,480
460,450
470,470
580,660
430,440
590,640
600,590
470,510
500,510
390,390
560,570
520,550
460,380
530,510
500,510
480,510
510,450
580,660
510,480
530,580
490,480
550,640
370,280
390,300
530,460
480,530
500,470
520,470
490,480
540,510
480,490
550,630
500,480
520,520
470,500
430,450
410,310
400,350
600,620
540,520
500,480
510,520
540,570
470,480
540,510
480,510
540,530
570,560
520,540
430,410
490,450
510,510
560,620
430,380
460,380
510,550
400,380
410,400
420,440
440,400
480,540
450,380
510,510
540,520
580,600
450,490
450,400
480,530
600,710
470,440
490,510
520,530
480,560
460,540
440,370
480,490
560,530
540,550
450,500
430,390
530,500
510,520
430,400
490,490
510,470
490,420
410,400
430,310
550,540
530,550
540,510
510,490
510,480
490,550
470,550
420,380
460,500
550,630
520,510
550,610
500,610
520,550
540,520
410,340
520,470
490,570
550,590
490,490
410,380
360,370
550,580
510,510
470,450
450,380
500,530
510,540
470,500
440,350
470,350
540,460
430,460
520,570
460,430
470,470
540,520
510,530
480,490
480,520
450,410
430,370
530,500
480,490
510,520
510,620
550,520
510,540
570,610
530,530
460,440
510,520
430,380
500,490
560,590
530,520
490,440
460,340
510,520
530,490
430,400
460,560
560,590
410,420
620,590
500,520
490,530
550,600
600,600
590,570
520,560
490,420
550,590
520,380
450,450
530,560
460,400
550,560
460,380
610,520
500,410
450,460
460,480
490,520
500,500
450,420
560,620
520,560
520,530
500,430
490,520
440,410
500,540
410,450
450,460
520,520
480,390
540,530
530,520
500,600
460,410
500,440
500,570
480,480
500,490
510,530
540,480
490,540
500,510
480,450
450,430
500,510
540,560
430,390
470,430
530,530
480,440
400,280
450,380
370,240
490,490
520,610
510,500
500,480
450,450
470,520
500,470
490,460
520,530
520,600
510,560
560,610
450,500
490,570
380,240
530,580
490,440
390,360
480,510
460,460
530,510
360,350
520,530
570,560
490,440
540,620
510,450
480,470
450,460
430,350
540,520
540,540
450,460
370,320
390,320
530,550
510,540
500,430
500,490
440,410
550,480
520,600
450,440
530,530
530,550
460,600
480,490
520,490
550,570
500,460
590,670
530,560
570,690
570,610
440,400
510,430
400,380
460,450
460,420
550,580
540,510
540,580
450,480
550,520
520,470
510,490
590,540
430,380
440,370
490,530
520,460
520,440
500,520
530,490
570,600
450,420
440,370
530,600
480,480
450,320
540,440
640,570
540,670
540,520
540,640
550,540
570,620
620,530
490,470
450,340
460,390
540,610
480,460
480,560
480,530
470,450
490,540
460,460
450,410
460,430
480,520
530,550
400,240
560,680
520,450
480,540
580,710
500,440
480,440
600,620
550,580
520,500
440,400
560,530
500,610
570,490
550,580
510,480
510,470
420,360
460,500
480,510
620,610
480,420
570,490
520,540
480,430
560,660
460,440
420,430
520,510
540,530
590,600
490,520
500,510
450,440
480,550
450,460
460,510
510,570
520,630
540,560
510,530
480,460
600,590
580,650
510,400
470,400
480,580
520,520
490,550
490,500
520,480
460,440
540,570
520,510
510,480
430,360
540,560
400,420
430,490
570,620
600,630
500,480
510,450
500,550
530,520
430,420
490,490
440,470
530,560
560,560
490,360
560,640
510,570
430,450
460,400
430,410
470,510
490,470
530,520
480,420
410,360
440,520
510,490
520,540
380,390
540,530
450,520
510,430
480,480
530,430
550,480
500,540
580,590
570,520
510,520
480,390
490,470
490,550
490,450
480,520
460,470
460,390
640,630
470,300
490,570
440,480
540,560
460,570
500,460
430,400
490,410
440,370
520,580
500,480
630,710
510,540
510,480
480,500
410,350
500,530
400,410
510,420
430,450
460,420
420,320
550,500
480,490
430,400
450,500
440,420
500,530
540,490
570,630
500,500
480,440
470,480
480,520
570,550
440,400
480,470
530,500
520,530
460,460
450,530
540,600
520,650
380,250
520,510
520,460
490,600
610,580
490,570
460,460
560,580
550,570
530,430
530,520
590,670
540,520
440,380
510,540
570,520
510,600
490,510
430,430
480,510
570,630
580,590
450,410
510,410
540,450
470,400
480,480
430,440
410,450
530,570
550,630
530,550
570,540
450,370
570,590
530,550
530,570
620,600
480,430
530,560
500,510
450,460
490,530
540,560
480,570
440,340
480,480
530,610
510,540
520,490
390,260
510,460
560,510
580,720
490,460
490,490
560,550
460,540
480,450
560,510
610,670
530,560
510,520
590,730
